algorithm,seed,return,latency_proxy,mean_queue,cost,dropped_requests,action_stability,action_switches,steps
PPO,0,-2825.340146422386,0.036662,18.331,2809.0,0.0,0.7517517517517518,248,1000
PPO,1,-2803.1951761245728,0.032938,16.469,2802.0,0.0,0.7147147147147147,285,1000
PPO,2,-2725.4097294807434,0.0355,17.75,2704.0,0.0,0.7347347347347347,265,1000
PPO,3,-2928.0523030757904,0.042962,21.481,2896.0,1.0,0.7467467467467468,253,1000
PPO,4,-2951.509344100952,0.03868,19.34,2935.0,0.0,0.7297297297297297,270,1000
A2C Final,0,-3051.43130171299,0.035506,17.753,3035.0,0.0,0.7667667667667668,233,1000
A2C Final,1,-3033.591606736183,0.034256,17.128,3027.0,0.0,0.7557557557557557,244,1000
A2C Final,2,-2996.6229840517044,0.038498,19.249,2970.0,0.0,0.7617617617617618,238,1000
A2C Final,3,-3371.3794952630997,0.04646,23.23,3329.0,1.0,0.7567567567567568,243,1000
A2C Final,4,-4475.67759346962,0.04881,24.405,3303.0,58.0,0.7487487487487487,251,1000
PPO-LSTM Final,0,-2563.898681282997,0.046868,23.434,2557.0,0.0,0.8168168168168168,183,1000
PPO-LSTM Final,1,-2568.795472741127,0.040701999999999995,20.351,2562.0,0.0,0.8388388388388388,161,1000
PPO-LSTM Final,2,-2538.261070728302,0.047304,23.652,2531.0,0.0,0.8478478478478478,152,1000
PPO-LSTM Final,3,-2805.1816396713257,0.050984,25.492,2773.0,1.0,0.8278278278278278,172,1000
PPO-LSTM Final,4,-2704.240721344948,0.05307,26.535,2697.0,0.0,0.8288288288288288,171,1000
Vanilla DQN freq1,0,-4680.541080713272,0.069794,34.897,2692.0,85.0,0.7107107107107107,289,1000
Vanilla DQN freq1,1,-2959.793004631996,0.05112,25.56,2613.0,0.0,0.7017017017017018,298,1000
Vanilla DQN freq1,2,-3038.7792921066284,0.042934,21.467,2672.0,0.0,0.7137137137137137,286,1000
Vanilla DQN freq1,3,-3008.8553006649017,0.066016,33.008,2701.0,0.0,0.7237237237237237,276,1000
Vanilla DQN freq1,4,-3136.631345629692,0.076082,38.041,2748.0,5.0,0.6866866866866868,313,1000
Double DQN freq1,0,-4585.675530910492,0.014638,7.319,4565.0,0.0,0.9579579579579579,42,1000
Double DQN freq1,1,-4512.064167737961,0.019719999999999998,9.86,4466.0,0.0,0.9529529529529529,47,1000
Double DQN freq1,2,-5491.3605880737305,0.022538,11.269,4430.0,52.0,0.94994994994995,50,1000
Double DQN freq1,3,-4543.656188488007,0.03147,15.735,4487.0,0.0,0.934934934934935,65,1000
Double DQN freq1,4,-4232.83623456955,0.021256,10.628,4212.0,0.0,0.9459459459459459,54,1000
Dueling DQN freq1,0,-3262.957406401634,0.08863599999999999,44.318,3183.0,0.0,0.8408408408408409,159,1000
Dueling DQN freq1,1,-10906.791248559952,0.08353000000000001,41.765,2917.0,398.0,0.8528528528528528,147,1000
Dueling DQN freq1,2,-2989.9164111614227,0.074158,37.079,2936.0,0.0,0.8538538538538538,146,1000
Dueling DQN freq1,3,-23111.468417406082,0.169572,84.786,2821.0,1009.0,0.8298298298298299,170,1000
Dueling DQN freq1,4,-17917.876237392426,0.120604,60.302,2991.0,743.0,0.8468468468468469,153,1000
Double+Dueling DQN freq1,0,-6129.875378251076,0.036124,18.062,4563.0,78.0,0.9269269269269269,73,1000
Double+Dueling DQN freq1,1,-4746.82225716114,0.022242,11.121,4746.0,0.0,0.8878878878878879,112,1000
Double+Dueling DQN freq1,2,-4186.803373575211,0.032832,16.416,4005.0,9.0,0.9209209209209209,79,1000
Double+Dueling DQN freq1,3,-5312.716463327408,0.032396,16.198,4591.0,36.0,0.9209209209209209,79,1000
Double+Dueling DQN freq1,4,-4475.491926550865,0.03149,15.745,4369.0,5.0,0.9169169169169169,83,1000
Rule-Based Baseline,0,-4826.948396444321,0.041985999999999996,20.993,3125.0,85.0,0.8288288288288288,171,1000
Rule-Based Baseline,1,-5144.92324090004,0.04374,21.87,3323.0,91.0,0.7947947947947948,205,1000
Rule-Based Baseline,2,-7356.346444606781,0.04668,23.34,3034.0,216.0,0.8078078078078078,192,1000
Rule-Based Baseline,3,-6325.8965716362,0.050578000000000005,25.289,3423.0,145.0,0.8138138138138138,186,1000
Rule-Based Baseline,4,-9029.951075792313,0.053975999999999996,26.988,3427.0,280.0,0.8038038038038038,196,1000
